,Unnamed: 0_x,Код,Товар,Helium Volume,Minimum Weight Requirement,Maximum Elevation,Inflated Size,TM,img,Unnamed: 0_y,Артикул рус.,Название,Штрих-код,*
0,20,35202, Sitting Baby,-,0.0,0.0,"13""/33cm w x 15""/38cm h",CI: Multi-Balloon A75 01,https://embed.widencdn.net/img/anagram/m12wezqhgl/1000px@1x/35202-Sitting-Baby.webp,139,1207-4233 ,А ФИГУРА/A75 AIR Малыш сидячий,26635352024,
1,136,28316, Disney Frozen Olaf, 1.44 ft3 (0.041 m3),21.6,6000.0,"23""/58cm w x 41""/104cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/qgwn3zz2ky/1000px@1x/28316-Disney-Frozen-Olaf.webp,35,1207-1777 ,А ФИГУРА/P38 Холодное сердце Олаф,26635283168,
2,141,39378, Iridescent Pink Flamingo, 1.36 ft3 (0.039 m3),18.8,6000.0,"28""/71cm w x 33""/83cm h",Holographic SuperShapeВ® P45 01,https://embed.widencdn.net/img/anagram/inghwv7hyr/1000px@1x/39378-Iridescent-Pink-Flamingo.webp,77,1207-3415 ,А ФИГУРА/P40 Фламинго переливы перламутр,26635393782,
3,142,39376, Iridescent Blue Dolphin, 1.23 ft3 (0.035 m3),16.4,6500.0,"29""/73cm w x 27""/68cm h","Holographic SuperShape P40 01, 02",https://embed.widencdn.net/img/anagram/mv2rqzqipl/1000px@1x/39376-Iridescent-Blue-Dolphin.webp,97,1207-3736 ,А ФИГУРА/P40 Дельфин голубой переливы,26635393768,
4,147,30483, Watermelon, 2.21 ft3 (0.063 m3),41.7,10000.0,"32""/81cm w x 16""/40cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/ehb6bwhumk/1000px@1x/30483-Watermelon.webp,58,1207-2768 ,А ФИГУРА/P35 Арбуз,26635304832,
5,148,30028, Holiday Candy Cane, 1.20 ft3 (0.034 m3),13.9,6000.0,"20""/50cm w x 37""/93cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/lvtz0ylhfi/1000px@1x/30028-Holiday-Candy-Cane.webp,43,1207-2033 ,А ФИГУРА/P35 Леденец полосатый,26635300285,
6,149,28950, Summer Scene Palm Tree, 1.39 ft3 (0.039 m3),16.5,6500.0,"29""/74cm w x 33""/83cm h","SuperShape XLВ® P30 01, 02",https://embed.widencdn.net/img/anagram/aap5fgkzx1/1000px@1x/28950-Summer-Scene-Palm-Tree.webp,32,1207-1735 ,А ФИГУРА/P30 Пальма,26635289504,
7,150,27696, Black Mustache, 0.80 ft3 (0.023 m3),13.7,6000.0,"35""/88cm w x 12""/30cm h","SuperShape P30 01, 02",https://embed.widencdn.net/img/anagram/4sagkq667s/1000px@1x/27696-Black-Mustache.webp,63,1207-2927 ,А ФИГУРА/P30 Усы черные,26635276962,
8,152,27209, Black Bat, 1.49 ft3 (0.042 m3),15.7,5500.0,"41""/104cm w x 24""/60cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/jloedyf1ax/1000px@1x/27209-Black-Bat.webp,28,1207-1559 ,А ФИГУРА/P35 Мышь летучая улыбчивая,26635272094,
9,166,40916, Go Change the World Globe, 1.36 ft3 (0.039 m3),22.2,9000.0,"23""/58cm w x 23""/58cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/c6zg5lghl2/1000px@1x/40916-Go-Change-the-World-Globe.webp,107,1207-3843 ,А ФИГУРА/P35 Глобус выпускнику,26635409162,
10,167,40916, Go Change the World Globe, 1.36 ft3 (0.039 m3),22.2,9000.0,"23""/58cm w x 23""/58cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/wdomz15qkf/1000px@1x/40916-Go-Change-the-World-Globe-ALT.webp,107,1207-3843 ,А ФИГУРА/P35 Глобус выпускнику,26635409162,
11,181,40668, Dinomite T-Rex, 1.35 ft3 (0.038 m3),17.2,6000.0,"26""/66cm w x 34""/86cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/mcfr81ogux/1000px@1x/40668-Dinomite-T-Rex.jpg,91,1207-3599 ,А ФИГУРА/P35 Динозавр зеленый,26635406680,
12,182,37273, Magical Unicorn, 1.50 ft3 (0.043 m3),19.4,6000.0,"33""/83cm w x 29""/73cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/l03yevcojb/1000px@1x/37273-Magical-Unicorn.webp,64,1207-3137 ,А ФИГУРА/P35 Единорог Нежный голова,26635372732,
13,186,39304, Iridescent Pineapple, 1.41 ft3 (0.040 m3),23.2,7000.0,"17""/43cm w x 31""/78cm h",Holographic SuperShapeВ® P45 01,https://embed.widencdn.net/img/anagram/czujovsifr/1000px@1x/39304-Iridescent-Pineapple.webp,81,1207-3422 ,А ФИГУРА/P40 Ананас переливы перламутр,26635393041,
14,191,39715, Blush Wedding Ring, 1.08 ft3 (0.031 m3),14.2,6000.0,"24""/60cm w x 30""/76cm h",SuperShape XLВ® P35 01,https://embed.widencdn.net/img/anagram/y2bsyjqaw3/1000px@1x/39715-Blush-Wedding.webp,103,1207-3809 ,А ФИГУРА/P35 Кольцо бриллиант розовое,26635397155,
15,194,39439, Iridescent Teal & Pink Butterfly, 1.94 ft3 (0.055 m3),23.1,6000.0,"30""/76cm w x 26""/66cm h",Holographic SuperShapeВ® P45 01,https://embed.widencdn.net/img/anagram/ugojny011v/1000px@1x/39439-Iridescent-Teal-and-Pink-Butterfly.webp,80,1207-3421 ,А ФИГУРА/P40 Бабочка переливы перламутр,26635394390,
